OPERATIVAS[Nombre Documento],OPERATIVAS[Grupo SOAP],OPERATIVAS[Equipo SOAP],OPERATIVAS[Tipo Documento SOAP],OPERATIVAS[Equipo Mesa Ágil SOAP],OPERATIVAS[Ruta archivo]
CRM -VENT-0011-ACTUALIZAR SERIE MIGRACION DE PRE A POST Y ALTA TO BEV2.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM -VENT-0011-ACTUALIZAR SERIE MIGRACION DE PRE A POST Y ALTA TO BEV2.docx
CRM-VENT-00009-DISMINUCION DE VENTAS PREPAGO O POSTPAGO.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-00009-DISMINUCION DE VENTAS PREPAGO O POSTPAGO.docx
CRM-VENT-0001-[SISACT] No carga SOT.pdf,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0001-[SISACT] No carga SOT.pdf
CRM-VENT-0002-[SISACT] ALTAS CORPORATIVAS CON ERROR.pdf,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0002-[SISACT] ALTAS CORPORATIVAS CON ERROR.pdf
CRM-VENT-0003-[SISACT] LIMITAR LAS CONEXIONES EN LOS SERVIDORES DE SISACT.pdf,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0003-[SISACT] LIMITAR LAS CONEXIONES EN LOS SERVIDORES DE SISACT.pdf
CRM-VENT-0004-[SISACT] ALINEAR CONTRATOS LINEAS FIJA CON ERROR.pdf,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0004-[SISACT] ALINEAR CONTRATOS LINEAS FIJA CON ERROR.pdf
CRM-VENT-0005-CAMBIO DE ESTADO DE SERIES SISCAD-CAMBIO DE ESTADO DE LA SERIE DE V A L.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0005-CAMBIO DE ESTADO DE SERIES SISCAD-CAMBIO DE ESTADO DE LA SERIE DE V A L.docx
CRM-VENT-0006-ACTIVACIONES MASIVAS.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0006-ACTIVACIONES MASIVAS.docx
CRM-VENT-0007-REGISTRA 3 ESCENARIOS  PARA LAS CUOTAS EN LA TABLA SISACT_CVE.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0007-REGISTRA 3 ESCENARIOS  PARA LAS CUOTAS EN LA TABLA SISACT_CVE.docx
CRM-VENT-0008-ACTUALIZACION DE SEC EN SISACT.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0008-ACTUALIZACION DE SEC EN SISACT.docx
